Player,Pos,3P,TRB,BLK
Pau Gasol,C,0.9,7.8,1.1
Nicolas Batum,SG,1.8,6.2,0.4
Allen Crabbe,SG,1.7,2.9,0.3
Manu Ginobili,SG,1.3,2.3,0.2
Danny Green,SG,1.7,3.3,0.8
Clint Capela,C,0.0,8.1,1.2
Alex Len,C,0.0,6.6,1.3
Jordan Clarkson,SG,1.4,3.0,0.1
Myles Turner,C,0.5,7.3,2.1
Lou Williams,SG,2.0,2.5,0.2
Ian Mahinmi,C,0.0,4.8,0.8
JaVale McGee,C,0.0,3.2,0.9
J.J. Redick,SG,2.6,2.2,0.2
Courtney Lee,SG,1.4,3.4,0.3
Iman Shumpert,SG,1.2,2.9,0.4
Jason Smith,C,0.5,3.5,0.7
C.J. McCollum,SG,2.3,3.6,0.5
Chris Andersen,C,0.0,2.6,0.6
Joel Embiid,C,1.2,7.8,2.5
Rodney Hood,SG,1.9,3.4,0.2
Jamal Crawford,SG,1.4,1.6,0.2
Nikola Vucevic,C,0.3,10.4,1.0
Anthony Davis,C,0.5,11.8,2.2
Frank Kaminsky,C,1.5,4.5,0.5
A.J. Hammons,C,0.2,1.6,0.6
Mason Plumlee,C,0.0,7.5,1.1
Gary Harris,SG,1.9,3.1,0.1
Jonas Valanciunas,C,0.0,9.5,0.8
Joe Harris,SG,1.6,2.8,0.2
Eric Gordon,SG,3.3,2.7,0.5
Josh Richardson,SG,1.4,3.2,0.7
Marco Belinelli,SG,1.4,2.4,0.1
Robin Lopez,C,0.0,6.4,1.4
Kyle Korver,SG,2.4,2.8,0.3
Marcus Smart,SG,1.2,3.9,0.4
Andrew Bogut,C,0.0,8.1,0.9
Karl-Anthony Towns,C,1.2,12.3,1.3
Evan Fournier,SG,1.9,3.1,0.1
J.R. Smith,SG,2.3,2.8,0.3
Andre Drummond,C,0.0,13.8,1.1
Timofey Mozgov,C,0.0,4.9,0.6
Austin Rivers,SG,1.5,2.2,0.1
Alex Abrines,SG,1.4,1.3,0.1
Klay Thompson,SG,3.4,3.7,0.5
Bismack Biyombo,C,0.0,7.0,1.1
Brook Lopez,C,1.8,5.4,1.7
Ben McLemore,SG,1.1,2.1,0.1
Nene Hilario,C,0.0,4.2,0.6
E'Twaun Moore,SG,1.1,2.1,0.4
Steven Adams,C,0.0,7.7,1.0
Patrick Beverley,SG,1.6,5.9,0.4
Jodie Meeks,SG,1.6,2.1,0.1
Kosta Koufos,C,0.0,5.7,0.7
DeMarcus Cousins,C,1.8,11.0,1.3
Buddy Hield,SG,1.8,3.3,0.1
Wayne Ellington,SG,2.4,2.1,0.1
Jordan Crawford,SG,1.9,1.8,0.1
Channing Frye,C,1.9,3.9,0.5
Tony Snell,SG,1.8,3.1,0.2
Tristan Thompson,C,0.0,9.2,1.1
Rudy Gobert,C,0.0,12.8,2.6
Willie Reed,C,0.0,4.7,0.7
Denzel Valentine,SG,1.3,2.6,0.1
Bradley Beal,SG,2.9,3.1,0.3
Edy Tavares,C,0.0,5.5,3.0
Justin Holiday,SG,1.2,2.7,0.4
Richaun Holmes,C,0.5,5.5,1.0
Garrett Temple,SG,1.3,2.8,0.4
Dwyane Wade,SG,0.8,4.5,0.7
Alexis Ajinca,C,0.0,4.5,0.6
Tarik Black,C,0.0,5.1,0.7
Dion Waiters,SG,1.8,3.3,0.4
Dwight Howard,C,0.0,12.7,1.2
Nikola Jokic,C,0.6,9.8,0.8
Wesley Matthews,SG,2.4,3.5,0.2
Marcin Gortat,C,0.0,10.4,0.7
Salah Mejri,C,0.0,4.2,0.8
Victor Oladipo,SG,1.9,4.3,0.3
John Henson,C,0.0,5.1,1.3
Al Horford,C,1.3,6.8,1.3
